X,Y,name,datetime
-7.2307304,57.6694976,EA49502,2023-07-22T12:02:00.000000Z
-7.2313368,57.6706176,EA49502,2023-07-22T12:07:00.000000Z
-7.2303432,57.6692544,EA49502,2023-07-22T12:12:00.000000Z
-7.2301464,57.669408,EA49502,2023-07-22T12:17:00.000000Z
-7.230056,57.6694848,EA49502,2023-07-22T12:22:00.000000Z
-7.2326616,57.6675968,EA49502,2023-07-22T12:27:00.000000Z
-7.2301232,57.6692736,EA49502,2023-07-22T12:38:00.000000Z
-7.2303088,57.6692672,EA49502,2023-07-22T12:42:00.000000Z
-7.2304008,57.6693632,EA49502,2023-07-22T12:47:00.000000Z
-7.2305,57.6692992,EA49502,2023-07-22T12:52:00.000000Z
-7.2303696,57.6694016,EA49502,2023-07-22T12:58:00.000000Z
-7.230096,57.6695808,EA49502,2023-07-22T13:02:00.000000Z
-7.2303688,57.6693632,EA49502,2023-07-22T13:07:00.000000Z
-7.2308104,57.669216,EA49502,2023-07-22T13:17:00.000000Z
-7.2308544,57.6694592,EA49502,2023-07-22T13:57:00.000000Z
-7.2403272,57.6694784,EA49503,2023-07-22T14:00:00.000000Z
-7.2309392,57.669696,EA49502,2023-07-22T14:08:00.000000Z
-7.2309048,57.6697024,EA49502,2023-07-22T14:12:00.000000Z
-7.2309144,57.6697344,EA49502,2023-07-22T14:17:00.000000Z
-7.23092,57.6697152,EA49502,2023-07-22T14:22:00.000000Z
-7.2299528,57.669408,EA49502,2023-07-22T14:27:00.000000Z
-7.23012,57.6693824,EA49502,2023-07-22T14:32:00.000000Z
-7.2303296,57.6693696,EA49502,2023-07-22T14:37:00.000000Z
-7.2302552,57.669344,EA49502,2023-07-22T14:42:00.000000Z
-7.2303712000000004,57.6692672,EA49502,2023-07-22T14:47:00.000000Z
-7.231152,57.6703232,EA49502,2023-07-22T14:52:00.000000Z
-7.2312872,57.6705344,EA49502,2023-07-22T14:57:00.000000Z
-7.2312664,57.6705792,EA49502,2023-07-22T15:02:00.000000Z
